state,Total_Schools,Rural_Schools,Urban_Schools,Rural_Percentage
UTTAR PRADESH,262358,223047,39311,85.0
MADHYA PRADESH,122120,100679,21441,82.4
MAHARASHTRA,108250,80154,28096,74.0
RAJASTHAN,106302,87169,19133,82.0
BIHAR,94339,84449,9890,89.5
WEST BENGAL,93715,81509,12206,87.0
KARNATAKA,74859,53376,21483,71.3
ODISHA,61565,56476,5089,91.7
ANDHRA PRADESH,61317,48344,12973,78.8
TAMIL NADU,57935,41857,16078,72.2
CHHATTISGARH,56802,50438,6364,88.8
ASSAM,55283,51928,3355,93.9
GUJARAT,53355,40400,12955,75.7
JHARKHAND,44376,40387,3989,91.0
TELANGANA,43154,28376,14778,65.8
PUNJAB,27281,21256,6025,77.9
JAMMU & KASHMIR,24192,21570,2622,89.2
HARYANA,23494,17229,6265,73.3
UTTARAKHAND,22452,18502,3950,82.4
HIMACHAL PRADESH,17330,16358,972,94.4
KERALA,15757,12469,3288,79.1
MEGHALAYA,14587,13509,1078,92.6
DELHI,5556,0,5556,0.0
TRIPURA,4943,4531,412,91.7
MANIPUR,4666,4022,644,86.2
MIZORAM,3974,2704,1270,68.0
ARUNACHAL PRADESH,3229,2842,387,88.0
NAGALAND,2750,2143,607,77.9
GOA,1479,1160,319,78.4
SIKKIM,1245,1121,124,90.0
LADAKH,961,896,65,93.2
PUDUCHERRY,763,402,361,52.7
DADRA & NAGAR HAVELI AND DAMAN & DIU,433,374,59,86.4
ANDAMAN & NICOBAR ISLANDS,408,349,59,85.5
CHANDIGARH,207,0,207,0.0
LAKSHADWEEP,36,36,0,100.0
